id,college,program,subjects,maxComposite,seats,totalApplicants,r1,r2,r3,r1_UR,r1_OBC,r1_SC,r1_ST,r1_EWS,r1_PwBD,r3_UR,r3_OBC,r3_SC,r3_ST,r3_EWS,r3_PwBD
326,Dyal Singh College,B.A Program (Urdu + Economics),,,,,574.2634,574.2634,,574.2634,367.824,,,,,,,,,,
327,Dyal Singh College,B.A Program (Urdu + History),,,,,485.5977,523.0853,560.573,485.5977,292.9406,,,,,560.573,387.0024,363.6787,,,
328,Dyal Singh College,B.A Program (Urdu + Political Science),,,,,496.0964,496.0964,,496.0964,358.8105,255.5765,,,,,,,,,
329,Dyal Singh College,B.A. (Hons.) Economics,,,,,758.6832,758.6832,,758.6832,522.199,404.8262,273.1582,581.6628,,,,,,,
330,Dyal Singh College,B.A. (Hons.) English,,,,,699.3818,692.651,685.9202,699.3818,567.7116,501.7388,503.7799,565.872,,685.9202,667.4907,,,,
331,Dyal Singh College,B.A. (Hons.) Geography,,,,,738.5963,738.5963,,738.5963,678.9351,553.3619,576.9489,579.0724,552.0192,,,,,,
332,Dyal Singh College,B.A. (Hons.) Hindi,,,,,332.6015,332.6015,,332.6015,150.3717,208.6781,238.7437,245.6408,,,158.9389,129.9299,,,
333,Dyal Singh College,B.A. (Hons.) History,,,,,721.3382,721.3382,,721.3382,612.94,545.1692,521.3436,605.1388,,,,,,,
334,Dyal Singh College,B.A. (Hons.) Philosophy,,,,,652.0787,652.0787,,652.0787,502.7911,452.717,338.3415,457.516,,,,,,,
335,Dyal Singh College,B.A. (Hons.) Political Science,,,,,758.4904,758.4904,,758.4904,692.0923,621.0426,610.9315,696.147,282.7172,,,,,,
336,Dyal Singh College,B.A. (Hons.) Punjabi,,,,,441.3867,416.5591,391.7315,441.3867,271.7647,198.2914,176.692,92.357,,391.7315,231.7475,116.5591,,,
337,Dyal Singh College,B.A. (Hons.) Sanskrit,,,,,382.3219,430.2221,478.1223,382.3219,223.6887,95.8577,,225.7949,,478.1223,205.0965,152.4491,,,
338,Dyal Singh College,B.A. (Hons.) Urdu,,,,,186.1992,280.3922,374.5851,186.1992,178.8001,238.1421,238.7245,195.1291,,374.5851,147.501,302.1799,,,
339,Dyal Singh College,B.Com,,,,,793.6284,793.6284,,793.6284,679.4414,573.2882,396.8327,724.3382,,,,,,,
340,Dyal Singh College,B.Com (Hons.),,,,,810.457,810.457,,810.457,709.5379,616.9562,463.4087,754.6622,184.4665,,,,,,
341,Dyal Singh College,B.Sc (Hons.) Botany,,,,,511.3355,511.3355,,511.3355,450.2355,376.9282,325.4556,465.2632,,,439.3912,,,,
342,Dyal Singh College,B.Sc (Hons.) Chemistry,,,,,366.8002,352.8427,338.8851,366.8002,311.7199,222.8796,82.8838,307.4773,,338.8851,,164.9912,,,
343,Dyal Singh College,B.Sc (Hons.) Computer Science,,,,,648.7207,639.3949,630.0691,648.7207,547.0414,467.8264,310.0975,587.4077,445.9595,630.0691,540.6072,,,,
344,Dyal Singh College,B.Sc (Hons.) Mathematics,,,,,571.5841,571.5841,,571.5841,443.3613,338.0127,140.2268,443.5524,,,,,,449.0729,
345,Dyal Singh College,B.Sc (Hons.) Physics,,,,,361.9228,365.8637,369.8046,361.9228,286.7231,191.6059,52.4823,280.7471,,369.8046,,230.3848,,,
346,Dyal Singh College,B.Sc (Hons.) Zoology,,,,,542.6342,523.5303,504.4263,542.6342,492.9483,400.224,383.434,494.8275,,504.4263,,,,,
347,Dyal Singh College,B.Sc (Prog.) Life Science,,,,,506.2658,501.3928,496.5198,506.2658,436.2061,348.2202,293.3189,431.9737,,496.5198,434.8215,,,435.8031,
348,Dyal Singh College,B.Sc (Prog.) Physical Science with Chemistry,,,,,257.3743,253.4679,249.5615,257.3743,192.8397,97.0485,102.7682,176.4233,,249.5615,159.4426,87.6482,,63.1287,
349,Dyal Singh College,B.Sc (Prog.) Physical Science with Computer Science/ Informatics Practices,,,,,317.9991,317.9991,,317.9991,241.4973,172.1539,40.2293,262.4064,,,286.8746,,,,
350,Dyal Singh College (Evening),B.A Program (Computer Applications + Economics),,,,,587.8809,587.8809,,587.8809,416.9152,299.4212,123.4456,376.6128,,,445.6253,,258.7772,,
351,Dyal Singh College (Evening),B.A Program (Economics + Mathematics),,,,,592.3424,592.3424,,592.3424,357.4381,222.3799,,317.3799,,,451.1535,270.775,,180.1738,
352,Dyal Singh College (Evening),B.A Program (Economics + Political Science),,,,,609.3538,609.3538,,609.3538,437.5442,391.5285,269.1099,367.0765,,,,,,,
353,Dyal Singh College (Evening),B.A Program (Entrepreneurship and Small Business (ESB) + History),,,,,577.4406,577.4406,,577.4406,413.8941,329.8958,311.4222,386.8106,,,,,,,
354,Dyal Singh College (Evening),B.A Program (Entrepreneurship and Small Business (ESB) + Political Science),,,,,574.8654,574.8654,,574.8654,436.4044,355.3931,163.196,371.0441,,,,,,550.7009,
355,Dyal Singh College (Evening),B.A Program (History + Political Science),,,,,584.8902,584.8902,,584.8902,459.431,413.3572,447.4545,370.9634,,,,,,,
356,Dyal Singh College (Evening),B.A Program (Human Resource Management (HRM) + Economics),,,,,628.8395,628.8395,,628.8395,446.3426,368.0669,181.2445,474.3949,,,,,340.238,,
357,Dyal Singh College (Evening),B.A Program (Punjabi + History),,,,,232.8687,322.7301,412.5916,232.8687,211.036,,,,,412.5916,,,,,
358,Dyal Singh College (Evening),B.A Program (Sanskrit + History),,,,,298.44,298.44,,298.44,142.9536,,,195.7081,,,351.041,,,,
359,Dyal Singh College (Evening),B.A Program (Tamil + Political Science),,,,,111.5644,179.2305,246.8965,111.5644,,,,,,246.8965,,,,,
360,Dyal Singh College (Evening),B.A Program (Urdu + History),,,,,330.8297,330.8297,,330.8297,157.7972,,,,,,306.4561,,,,
361,Dyal Singh College (Evening),B.A. (Hons.) English,,,,,610.1452,610.1452,,610.1452,445.884,407.1289,350.9709,421.8006,,,591.9634,,383.0063,,
362,Dyal Singh College (Evening),B.A. (Hons.) History,,,,,577.9795,577.9795,,577.9795,444.9936,412.9325,354.2515,375.6134,,,,,,469.7145,
363,Dyal Singh College (Evening),B.A. (Hons.) Political Science,,,,,603.1278,603.1278,,603.1278,489.3944,422.2773,397.5313,369.9494,,,,,,,
364,Dyal Singh College (Evening),B.Com,,,,,705.0929,705.0929,,705.0929,549.0894,427.971,134.2796,593.4829,,,,,487.5846,,
365,Dyal Singh College (Evening),B.Com (Hons.),,,,,740.7175,740.7175,,740.7175,613.575,508.7953,162.0236,649.0346,371.5261,,,,,,
366,Gargi College (W),B.A Program (Computer Applications + Economics),,,,,796.4265,796.4265,,796.4265,601.2706,592.9264,,605.4375,,,,,,,
367,Gargi College (W),B.A Program (Computer Applications + Entrepreneurship and Small Business (ESB)),,,,,713.4839,713.4839,,713.4839,496.323,436.4351,323.0996,486.4754,,,,,,,
368,Gargi College (W),B.A Program (Computer Applications + Mathematics),,,,,702.6784,702.6784,,702.6784,504.1762,478.427,,547.6613,,,,,,,
369,Gargi College (W),B.A Program (Economics + Entrepreneurship and Small Business (ESB)),,,,,777.2283,777.2283,,777.2283,645.0197,621.3083,484.3315,674.6869,,,,,,,
370,Gargi College (W),B.A Program (Economics + Mathematics),,,,,781.9921,781.9921,,781.9921,575.3756,,,648.0241,,,,,,,
371,Gargi College (W),B.A Program (Economics + Political Science),,,,,796.187,796.187,,796.187,720.7687,639.216,610.413,707.5789,,,,,,,
372,Gargi College (W),B.A Program (Economics + Psychology),,,,,836.9301,836.9301,,836.9301,673.3226,624.4128,617.1281,705.8329,,,,,,,
373,Gargi College (W),B.A Program (English + German),,,,,628.1619,628.1619,,628.1619,428.3446,435.5982,198.7055,326.3262,,,,,,,
374,Gargi College (W),B.A Program (English + History),,,,,767.5648,767.5648,,767.5648,673.572,627.9591,627.8633,,,,,,565.333,,
375,Gargi College (W),B.A Program (English + Philosophy),,,,,737.6076,737.6076,,737.6076,630.4839,548.2958,,622.1434,,,,,,,
376,Gargi College (W),B.A Program (English + Psychology),,,,,822.7395,822.7395,,822.7395,694.3979,678.9807,635.1537,685.6711,256.2455,,,,,,
377,Gargi College (W),B.A Program (Entrepreneurship and Small Business (ESB) + Mathematics),,,,,722.3775,722.3775,,722.3775,452.4598,400.8781,,499.533,,,,,,399.8921,
378,Gargi College (W),B.A Program (German + History),,,,,569.9295,569.9295,,569.9295,389.6254,344.2019,,307.0023,,,,,,,
379,Gargi College (W),B.A Program (German + Political Science),,,,,624.1779,624.1779,,624.1779,296.9195,324.4689,440.6977,436.125,,,488.2362,,440.6977,,
380,Gargi College (W),B.A Program (Hindi + History),,,,,656.199,656.199,,656.199,582.1332,497.1938,393.415,554.1064,,,,,,,
381,Gargi College (W),B.A Program (Hindi + Political Science),,,,,674.0665,674.0665,,674.0665,572.8598,485.0475,323.7556,582.8107,427.5732,,,,,,
382,Gargi College (W),B.A Program (History + Philosophy),,,,,735.8547,735.8547,,735.8547,664.3277,564.78,,586.9207,,,,,,,
383,Gargi College (W),B.A Program (History + Political Science),,,,,768.1977,768.1977,,768.1977,705.2096,607.4407,587.22,698.8256,576.6069,,,,,,543.9696
384,Gargi College (W),B.A Program (Philosophy + Political Science),,,,,737.3585,737.3585,,737.3585,647.3614,547.4127,573.9065,648.0478,,,,,,,
385,Gargi College (W),B.A Program (Philosophy + Psychology),,,,,819.998,819.998,,819.998,658.8603,664.2048,,651.3037,,,,,,,
386,Gargi College (W),B.A. (Hons.) Applied Psychology,,,,,860.9297,860.9297,,860.9297,732.3118,677.5867,656.601,724.1037,574.4936,,,,,,
387,Gargi College (W),B.A. (Hons.) Business Economics,,,,,479.7122,479.7122,,479.7122,334.4424,271.8734,221.1344,362.2626,,,,,,,
388,Gargi College (W),B.A. (Hons.) Economics,,,,,799.7743,799.7743,,799.7743,581.8363,467.6071,177.3825,631.7825,,,,,,,
389,Gargi College (W),B.A. (Hons.) English,,,,,776.5646,784.9341,793.3036,776.5646,662.6852,605.2912,606.6584,670.5138,218.5196,793.3036,725.2075,,,,
390,Gargi College (W),B.A. (Hons.) Hindi,,,,,398.7564,398.7564,,398.7564,242.3877,273.9417,,200.6637,,,294.9033,626.424,,,
391,Gargi College (W),B.A. (Hons.) History,,,,,776.2605,776.2605,,776.2605,709.1814,624.1406,603.864,693.8906,,,,,,,238.3276
392,Gargi College (W),B.A. (Hons.) Philosophy,,,,,726.1837,756.2609,786.3381,726.1837,575.4609,464.3908,370.3231,549.7983,,786.3381,,,,,
393,Gargi College (W),B.A. (Hons.) Political Science,,,,,818.8216,818.8216,,818.8216,742.2073,663.793,623.0243,740.9912,215.8872,,,,,,
394,Gargi College (W),B.A. (Hons.) Sanskrit,,,,,311.4262,425.8481,540.2699,311.4262,126.8794,186.2112,,174.9673,,540.2699,168.2609,,,,
395,Gargi College (W),B.Com,,,,,807.3364,807.3364,,807.3364,692.1219,592.4094,435.1475,737.9405,,,,,,,
396,Gargi College (W),B.Com (Hons.),,,,,838.832,835.0149,831.1978,838.832,745.8621,653.4699,539.9485,782.5046,466.1758,831.1978,,,,,
397,Gargi College (W),B.Sc (Hons.) Botany,,,,,542.2771,512.471,482.6648,542.2771,476.6824,400.6509,357.7397,481.7989,210.3668,482.6648,459.8576,391.8513,252.8706,,
398,Gargi College (W),B.Sc (Hons.) Chemistry,,,,,410.9897,390.99,370.9903,410.9897,341.4072,236.4747,122.5409,327.5628,,370.9903,,,,,
399,Gargi College (W),B.Sc (Hons.) Mathematics,,,,,661.4792,661.4792,,661.4792,500.0536,400.9926,289.8812,510.7057,,,479.8471,325.4823,158.2507,,
400,Gargi College (W),B.Sc (Hons.) Microbiology,,,,,609.0267,599.9712,590.9156,609.0267,536.6752,483.3729,436.1333,557.5094,354.1065,590.9156,,,,,
401,Gargi College (W),B.Sc (Hons.) Physics,,,,,415.1169,378.2465,341.3761,415.1169,330.2195,217.1766,146.0532,329.6192,,341.3761,,,160.8588,,
402,Gargi College (W),B.Sc (Hons.) Zoology,,,,,570.8365,541.7389,512.6413,570.8365,514.2694,445.8389,387.6608,508.9007,269.7699,512.6413,471.7859,,,,
403,Gargi College (W),B.Sc (Prog.) Life Science,,,,,530.8466,510.6898,490.5331,530.8466,464.2851,374.4251,313.3741,471.4466,78.0015,490.5331,,,,,
404,Gargi College (W),B.Sc (Prog.) Physical Science with Chemistry,,,,,301.7303,301.7303,,301.7303,224.8295,125.2955,101.0531,255.2813,,,,,,,
405,Gargi College (W),Bachelor of Elementary Education (B.El.Ed.),,,,,679.4888,701.8292,724.1696,679.4888,560.8688,581.3337,435.9226,502.3,119.5292,724.1696,,,,629.4432,
406,Hansraj College,B.A Program (Commerce + Economics),,,,,874.9621,873.9787,872.9954,874.9621,783.6032,709.3881,665.1792,827.2962,639.0601,872.9954,763.0536,,,,
407,Hansraj College,B.A Program (Economics + History),,,,,845.3369,845.3369,,845.3369,776.7122,718.3357,697.8139,799.5954,567.9696,,,,,,
408,Hansraj College,B.A Program (Hindi + Physical Education),,,,,689.4378,703.3672,717.2965,689.4378,606.748,547.317,516.1077,606.6789,422.3386,717.2965,,520.3313,,,
409,Hansraj College,B.A Program (Philosophy + Physical Education),,,,,741.6761,759.306,776.9359,741.6761,672.9584,624.0196,568.1231,630.4791,415.2534,776.9359,,,,,
410,Hansraj College,B.A Program (Sanskrit + Philosophy),,,,,620.1324,620.1324,,620.1324,509.5401,343.3825,,513.3229,,,,428.8157,130.4312,524.2653,
411,Hansraj College,B.A. (Hons.) Economics,,,,,864.5005,864.5005,,864.5005,721.9032,642.6301,502.8715,770.3268,471.1541,,,,,,
412,Hansraj College,B.A. (Hons.) English,,,,,851.1134,851.1134,,851.1134,770.6625,715.6247,690.635,777.7979,595.1985,,,,710.3476,,
413,Hansraj College,B.A. (Hons.) Hindi,,,,,644.376,644.376,,644.376,545.1966,551.7333,375.4782,463.2583,352.3282,,,,234.3558,,
414,Hansraj College,B.A. (Hons.) History,,,,,875.0123,886.2795,897.5468,875.0123,832.3329,777.5884,779.1792,844.6929,620.9044,897.5468,,,,,
415,Hansraj College,B.A. (Hons.) Philosophy,,,,,827.4773,827.4773,,827.4773,733.1893,660.6813,603.0925,750.8954,477.6124,,782.1166,,,,
416,Hansraj College,B.A. (Hons.) Sanskrit,,,,,173.7851,173.7851,,173.7851,436.7035,305.834,272.3542,434.5709,,,,340.1271,,568.7628,
417,Hansraj College,B.Com (Hons.),,,,,901.7122,900.6584,899.6045,901.7122,828.5794,764.0232,709.0878,860.7657,675.8738,899.6045,838.1832,,,827.3642,
418,Hansraj College,B.Sc (Hons.) Anthropology,,,,,601.8233,595.0312,588.2391,601.8233,535.9965,483.2461,441.881,515.5776,268.2947,588.2391,,,,,
419,Hansraj College,B.Sc (Hons.) Botany,,,,,621.1447,621.1447,,621.1447,570.3807,483.8675,456.2821,581.6044,241.9539,,561.5057,,582.0208,483.4341,
420,Hansraj College,B.Sc (Hons.) Chemistry,,,,,495.4426,478.7675,462.0924,495.4426,432.8772,352.1145,221.6853,447.8675,,462.0924,,,147.9241,,
421,Hansraj College,B.Sc (Hons.) Computer Science,,,,,784.354,784.354,,784.354,688.6639,638.2804,487.2536,741.103,483.1233,,694.7179,,,,
422,Hansraj College,B.Sc (Hons.) Electronics,,,,,505.3717,460.4672,415.5628,505.3717,420.4005,328.0921,237.8639,455.2626,,415.5628,,,,,
423,Hansraj College,B.Sc (Hons.) Geology,,,,,594.1342,573.9899,553.8456,594.1342,514.468,422.5458,397.8933,498.1678,155.3233,553.8456,492.689,,,,
424,Hansraj College,B.Sc (Hons.) Mathematics,,,,,787.7201,775.624,763.5279,787.7201,662.4287,572.9586,483.7129,654.4384,365.4774,763.5279,650.6505,,457.9934,,
425,Hansraj College,B.Sc (Hons.) Physics,,,,,528.5708,528.5708,,528.5708,457.5895,377.0676,220.2381,472.811,92.9186,,,,,,
426,Hansraj College,B.Sc (Hons.) Zoology,,,,,643.6226,645.963,648.3033,643.6226,609.8507,534.7659,486.2715,624.222,413.1151,648.3033,502.6327,430.1338,,,
427,Hansraj College,B.Sc (Prog.) Life Science,,,,,627.3302,616.7997,606.2692,627.3302,563.7328,499.6597,463.291,584.5716,298.4915,606.2692,,,,541.6024,
428,Hansraj College,B.Sc (Prog.) Physical Science with Chemistry,,,,,430.0124,430.0124,,430.0124,370.495,289.3639,192.3009,389.5356,,,,,,,113.1089
429,Hansraj College,B.Sc (Prog.) Physical Science with Computer Science/ Informatics Practices,,,,,490.7703,490.7703,,490.7703,418.7545,328.8123,203.1273,463.5079,111.9935,,361.9448,,,,
430,Hindu College,B.A Program (English + Economics),,,,,894.511,894.511,,894.511,837.1791,789.2595,885.0597,834.6463,777.9586,,,,,,
431,Hindu College,B.A Program (Hindi + Philosophy),,,,,810.4724,810.4724,,810.4724,739.1336,711.8384,554.5266,722.1033,586.6409,,,,,,
432,Hindu College,B.A Program (History + Political Science),,,,,936.1828,936.1828,,936.1828,898.8492,856.1024,934.1694,891.7085,832.9445,,804.9416,774.5598,,,
433,Hindu College,B.A Program (Sanskrit + Political Science),,,,,807.8867,807.8867,,807.8867,746.8629,616.4251,649.7468,736.8111,550.5744,,,,,,
434,Hindu College,B.A. (Hons.) Economics,,,,,888.1655,888.1655,,888.1655,776.04,705.9677,605.9931,807.9571,586.427,,685.7844,,,,
435,Hindu College,B.A. (Hons.) English,,,,,885.7629,885.7629,,885.7629,827.5957,783.1633,785.0079,854.9367,637.5776,,,,,,
436,Hindu College,B.A. (Hons.) Hindi,,,,,753.6071,753.6071,,753.6071,689.1431,662.3108,446.2203,625.196,519.6308,,,,,,
437,Hindu College,B.A. (Hons.) History,,,,,914.3816,914.3816,,914.3816,885.8072,834.283,871.0472,883.1422,714.3731,,,,,,
438,Hindu College,B.A. (Hons.) Philosophy,,,,,865.0003,868.2936,871.5869,865.0003,789.6081,714.2767,644.3679,781.9815,530.2544,871.5869,,678.8383,,,
439,Hindu College,B.A. (Hons.) Political Science,,,,,950.5823,942.9896,935.397,950.5823,922.9031,889.685,899.132,920.781,862.7593,935.397,,,,,
440,Hindu College,B.A. (Hons.) Sanskrit,,,,,480.3217,480.3217,,480.3217,118.7996,389.1392,166.1352,548.4015,282.4895,,,,,,
441,Hindu College,B.A. (Hons.) Sociology,,,,,891.9903,891.9903,,891.9903,843.6482,777.843,789.0005,822.6685,623.192,,,,,,
442,Hindu College,B.Com (Hons.),,,,,912.2188,912.2188,,912.2188,843.2175,784.0984,735.1002,871.5045,718.8836,,,,,,
443,Hindu College,B.Sc (Hons.) Botany,,,,,656.1192,656.1192,,656.1192,624.1787,523.8811,522.4557,618.5947,415.7009,,586.6986,,,,
444,Hindu College,B.Sc (Hons.) Chemistry,,,,,537.9057,516.6213,495.3369,537.9057,474.6686,386.1242,262.8433,470.7186,176.9824,495.3369,450.4563,463.6666,,,
445,Hindu College,B.Sc (Hons.) Mathematics,,,,,818.3477,818.3477,,818.3477,709.0148,631.7421,562.8302,711.1573,414.3517,,,,,,
446,Hindu College,B.Sc (Hons.) Physics,,,,,557.2636,552.3536,547.4435,557.2636,501.9245,391.001,266.504,527.403,69.0133,547.4435,404.6336,,,,
447,Hindu College,B.Sc (Hons.) Statistics,,,,,848.6333,848.6333,,848.6333,731.6651,620.1348,467.372,730.438,310.0458,,,,,,
448,Hindu College,B.Sc (Hons.) Zoology,,,,,678.4394,678.4394,,678.4394,642.6709,593.1017,531.6226,645.6626,486.7906,,,480.0692,,,
449,Hindu College,B.Sc (Prog.) Physical Science with Chemistry,,,,,448.472,464.414,480.3561,448.472,380.806,309.8603,224.9936,373.7867,,480.3561,,,,,
450,Hindu College,B.Sc (Prog.) Physical Science with Electronics,,,,,441.9164,441.9164,,441.9164,384.3854,295.5802,180.2974,385.4028,,,,209.4929,,515.8763,
451,Indraprastha College for Women (W),B.A Program (Commerce + Computer Applications),,,,,739.5981,739.5981,,739.5981,543.4779,395.99,523.069,574.5447,,,,,647.1133,,
452,Indraprastha College for Women (W),B.A Program (Commerce + Economics),,,,,828.7008,828.7008,,828.7008,723.1154,630.7145,503.1065,721.9655,,,687.0665,,,,418.3681
453,Indraprastha College for Women (W),B.A Program (Commerce + Mathematics),,,,,755.3616,755.3616,,755.3616,511.7055,364.8824,245.8337,560.9591,,,,,,,
454,Indraprastha College for Women (W),B.A Program (Commerce + Psychology),,,,,788.8933,788.8933,,788.8933,698.9397,602.2448,511.2581,,,,,,,,
455,Indraprastha College for Women (W),B.A Program (Computer Applications + Economics),,,,,749.5098,749.5098,,749.5098,609.2724,401.1777,,609.5319,,,,,,,
456,Indraprastha College for Women (W),B.A Program (Computer Applications + Mathematics),,,,,665.7138,706.4882,747.2626,665.7138,481.038,428.3194,340.3676,537.6948,,747.2626,,,,,
457,Indraprastha College for Women (W),B.A Program (Economics + Mathematics),,,,,774.8813,774.8813,,774.8813,598.9419,427.8654,415.3591,629.0292,,,,,,,
458,Indraprastha College for Women (W),B.A Program (Economics + Political Science),,,,,800.8607,800.8607,,800.8607,728.1715,635.5184,655.8112,,237.8734,,,,,,
459,Indraprastha College for Women (W),B.A Program (English + History),,,,,763.4772,763.4772,,763.4772,715.3517,615.2123,626.1022,,274.9606,,,,,,
460,Indraprastha College for Women (W),B.A Program (English + Human Development and Family Empowerment (HDFE)),,,,,693.873,693.873,,693.873,589.866,490.2363,538.6769,602.5241,74.4687,,,548.1195,,,
461,Indraprastha College for Women (W),B.A Program (English + Political Science),,,,,783.2495,783.2495,,783.2495,727.8989,647.0953,592.4231,,343.1379,,,,,,
462,Indraprastha College for Women (W),B.A Program (Geography + English),,,,,775.5394,775.5394,,775.5394,723.3518,605.9264,619.5633,682.0374,,,,,,,
463,Indraprastha College for Women (W),B.A Program (Geography + History),,,,,805.1298,805.1298,,805.1298,726.1398,,616.9075,695.0742,,,,,,,
464,Indraprastha College for Women (W),B.A Program (Geography + Political Science),,,,,797.9938,797.9938,,797.9938,739.8438,638.4821,608.6303,,,,,,,,
465,Indraprastha College for Women (W),B.A Program (Hindi + Geography),,,,,707.2362,707.2362,,707.2362,646.134,489.5004,425.3797,,,,,,,,
466,Indraprastha College for Women (W),B.A Program (Hindi + History),,,,,705.5178,705.5178,,705.5178,617.6947,522.0443,549.1152,625.941,368.2804,,,,,,
467,Indraprastha College for Women (W),B.A Program (Hindi + Political Science),,,,,732.223,732.223,,732.223,677.3768,503.3805,457.484,614.5214,216.5807,,,,,,
468,Indraprastha College for Women (W),B.A Program (Hindi + Psychology),,,,,763.5296,763.5296,,763.5296,590.8347,506.1577,446.0835,,,,,,,,
469,Indraprastha College for Women (W),B.A Program (History + Philosophy),,,,,756.9013,756.9013,,756.9013,694.321,545.5577,541.4977,621.8888,,,,,,,
470,Indraprastha College for Women (W),B.A Program (History + Political Science),,,,,790.299,790.299,,790.299,733.0121,654.3703,653.2239,741.6301,264.8087,,,,,,
471,Indraprastha College for Women (W),B.A Program (History + Sociology),,,,,773.6991,773.6991,,773.6991,723.3513,589.8637,,657.3987,,,,,,,
472,Indraprastha College for Women (W),B.A Program (Human Development and Family Empowerment (HDFE) + Hindi),,,,,652.009,652.009,,652.009,430.98,377.8366,,562.537,,,,,,,
473,Indraprastha College for Women (W),B.A Program (Human Development and Family Empowerment (HDFE) + Philosophy),,,,,690.2447,690.2447,,690.2447,579.307,403.4829,,391.7896,,,,,,,
474,Indraprastha College for Women (W),B.A Program (Human Development and Family Empowerment (HDFE) + Psychology),,,,,796.1992,796.1992,,796.1992,627.3728,599.7356,548.092,610.3927,,,,,,,
475,Indraprastha College for Women (W),B.A Program (Human Development and Family Empowerment (HDFE) + Sociology),,,,,699.6482,701.9724,704.2967,699.6482,583.3139,511.7943,,622.8691,,704.2967,,,,,
476,Indraprastha College for Women (W),B.A Program (Philosophy + Psychology),,,,,795.9128,795.9128,,795.9128,684.9287,612.2058,559.3421,,,,,,,,
477,Indraprastha College for Women (W),B.A Program (Philosophy + Sociology),,,,,738.7306,738.7306,,738.7306,611.0749,550.8418,,643.8084,,,,,,,
478,Indraprastha College for Women (W),B.A Program (Psychology + Sociology),,,,,834.6185,834.6185,,834.6185,729.3748,635.4086,,659.721,,,,,,,
479,Indraprastha College for Women (W),B.A Program (Sanskrit + Geography),,,,,512.3119,512.3119,,512.3119,451.1347,,,,,,,,,,
480,Indraprastha College for Women (W),B.A Program (Sanskrit + History),,,,,544.6186,544.6186,,544.6186,388.99,268.3524,,310.1226,,,,,,,
481,Indraprastha College for Women (W),B.A Program (Sanskrit + Philosophy),,,,,471.2114,471.2114,,471.2114,327.3767,301.2594,,,,,,,,,
482,Indraprastha College for Women (W),B.A Program (Sanskrit + Political Science),,,,,613.0879,613.0879,,613.0879,367.8309,169.6949,,,,,,,,,
483,Indraprastha College for Women (W),B.A. (Hons.) Economics,,,,,788.2,774.3749,760.5498,788.2,594.4111,491.0555,108.4789,640.9579,,760.5498,,,,,
484,Indraprastha College for Women (W),B.A. (Hons.) English,,,,,786.0593,763.0869,740.1145,786.0593,669.1489,628.5287,595.4672,684.6575,286.235,740.1145,703.4105,,,,
485,Indraprastha College for Women (W),B.A. (Hons.) Geography,,,,,814.4258,814.4258,,814.4258,740.7069,672.0208,660.3238,724.6375,341.2324,,,,,,
486,Indraprastha College for Women (W),B.A. (Hons.) Hindi,,,,,384.819,384.819,,384.819,186.93,251.1419,331.5502,165.7602,128.4415,,167.2623,251.1419,,,
487,Indraprastha College for Women (W),B.A. (Hons.) History,,,,,795.7508,795.7508,,795.7508,733.2497,632.6159,636.2016,718.8039,213.5494,,771.6569,,,,
488,Indraprastha College for Women (W),B.A. (Hons.) Multi Media and Mass Communication,,,,,520.6672,520.6672,,520.6672,444.3363,393.7253,319.8305,462.898,144.0202,,472.4343,402.8174,,431.4687,
489,Indraprastha College for Women (W),B.A. (Hons.) Philosophy,,,,,712.2911,712.2911,,712.2911,592.1682,466.5274,424.4197,563.341,,,,,196.2446,,
490,Indraprastha College for Women (W),B.A. (Hons.) Political Science,,,,,825.6628,825.6628,,825.6628,761.9013,679.1167,666.35,766.2022,434.7851,,,,,,
491,Indraprastha College for Women (W),B.A. (Hons.) Psychology,,,,,878.0639,878.0639,,878.0639,759.0172,743.0016,733.0788,790.963,531.3262,,,,,,
492,Indraprastha College for Women (W),B.A. (Hons.) Sanskrit,,,,,323.4556,323.4556,,323.4556,204.5616,154.4574,,122.4225,,,203.6167,,,,
493,Indraprastha College for Women (W),B.A. (Hons.) Sociology,,,,,774.9383,774.9383,,774.9383,690.8674,612.6326,604.8195,657.5063,369.2943,,,,,,
494,Indraprastha College for Women (W),B.Com (Hons.),,,,,843.7523,834.0261,824.3,843.7523,755.9395,664.5228,566.3878,800.0204,384.1519,824.3,,,,773.9473,
495,Indraprastha College for Women (W),B.Sc (Hons.) Computer Science,,,,,676.625,676.625,,676.625,571.7539,541.3395,356.3195,600.6172,,,562.7094,,178.8423,,
496,Indraprastha College for Women (W),B.Sc (Hons.) Mathematics,,,,,650.058,650.058,,650.058,501.5794,377.3901,238.9408,507.4676,,,,,,,
497,Institute of Home Economics (W),B.A. (Hons.) Journalism,,,,,693.7352,680.1934,666.6517,693.7352,536.3085,454.6125,395.5454,529.2202,,666.6517,564.2717,482.3933,,,
498,Institute of Home Economics (W),B.Sc (Hons.) Bio-Chemistry,,,,,552.7712,521.1589,489.5466,552.7712,467.4514,396.0507,323.9016,456.0841,328.2604,489.5466,,,,,
499,Institute of Home Economics (W),B.Sc (Hons.) Food Technology,,,,,511.1169,490.8331,470.5493,511.1169,434.1267,360.0901,306.1508,429.8602,,470.5493,441.9996,,,,
500,Institute of Home Economics (W),B.Sc (Hons.) Home Science,,,,,399.6281,400.8159,402.0037,399.6281,316.5598,252.0513,186.4691,294.1351,,402.0037,255.5305,269.0301,118.863,169.7564,
